reorder_pct,jitter_enabled,run,success,ber,alice_sof_count
0,0,1,True,0.0,1
0,0,2,True,0.0,1
0,0,3,True,0.0,1
0,0,4,True,0.0,1
0,0,5,True,0.0,1
0,0,6,True,0.0,1
0,0,7,True,0.0,1
0,0,8,True,0.0,1
0,0,9,True,0.0,1
0,0,10,True,0.0,1
0,1,1,True,0.0,1
0,1,2,True,0.0,1
0,1,3,True,0.0,1
0,1,4,True,0.0,1
0,1,5,True,0.0,1
0,1,6,True,0.0,1
0,1,7,True,0.0,1
0,1,8,True,0.0,1
0,1,9,True,0.0,1
0,1,10,True,0.0,1
10,0,1,True,0.0,1
10,0,2,True,0.0,1
10,0,3,False,0.03,1
10,0,4,True,0.0,1
10,0,5,True,0.0,1
10,0,6,True,0.0,1
10,0,7,True,0.0,1
10,0,8,True,0.0,1
10,0,9,True,0.0,1
10,0,10,True,0.0,1
10,1,1,True,0.0,1
10,1,2,True,0.0,1
10,1,3,True,0.0,1
10,1,4,True,0.0,1
10,1,5,True,0.0,1
10,1,6,True,0.0,1
10,1,7,True,0.0,1
10,1,8,True,0.0,1
10,1,9,True,0.0,1
10,1,10,True,0.0,1
25,0,1,False,0.335,1
25,0,2,False,0.4025,1
25,0,3,False,0.365,1
25,0,4,False,0.415,1
25,0,5,False,0.45125,1
25,0,6,False,0.47125,1
25,0,7,False,0.43125,1
25,0,8,False,1.0,1
25,0,9,False,0.3875,1
25,0,10,False,0.315,1
25,1,1,True,0.0,1
25,1,2,True,0.0,1
25,1,3,True,0.0,1
25,1,4,True,0.0,1
25,1,5,True,0.0,1
25,1,6,True,0.0,1
25,1,7,True,0.0,1
25,1,8,True,0.0,1
25,1,9,True,0.0,1
25,1,10,True,0.0,1
50,0,1,False,1.0,0
50,0,2,False,1.0,0
50,0,3,False,1.0,0
50,0,4,False,1.0,1
50,0,5,False,1.0,1
50,0,6,False,1.0,0
50,0,7,False,1.0,1
50,0,8,False,1.0,0
50,0,9,False,1.0,0
50,0,10,False,1.0,1
50,1,1,True,0.0,1
50,1,2,True,0.0,1
50,1,3,True,0.0,1
50,1,4,True,0.0,1
50,1,5,True,0.0,1
50,1,6,True,0.0,1
50,1,7,True,0.0,1
50,1,8,True,0.0,1
50,1,9,True,0.0,1
50,1,10,True,0.0,1
