[setup] Pre-building docker image...
[run] reorder=0% jitter=0 rep=1
[run]   success=True ber=0.0 sof=1
[run] reorder=0% jitter=0 rep=2
[run]   success=True ber=0.0 sof=1
[run] reorder=0% jitter=0 rep=3
[run]   success=True ber=0.0 sof=1
[run] reorder=0% jitter=0 rep=4
[run]   success=True ber=0.0 sof=1
[run] reorder=0% jitter=0 rep=5
[run]   success=True ber=0.0 sof=1
[run] reorder=0% jitter=0 rep=6
[run]   success=True ber=0.0 sof=1
[run] reorder=0% jitter=0 rep=7
[run]   success=True ber=0.0 sof=1
[run] reorder=0% jitter=0 rep=8
[run]   success=True ber=0.0 sof=1
[run] reorder=0% jitter=0 rep=9
[run]   success=True ber=0.0 sof=1
[run] reorder=0% jitter=0 rep=10
[run]   success=True ber=0.0 sof=1
[run] reorder=0% jitter=1 rep=1
[run]   success=True ber=0.0 sof=1
[run] reorder=0% jitter=1 rep=2
[run]   success=True ber=0.0 sof=1
[run] reorder=0% jitter=1 rep=3
[run]   success=True ber=0.0 sof=1
[run] reorder=0% jitter=1 rep=4
[run]   success=True ber=0.0 sof=1
[run] reorder=0% jitter=1 rep=5
[run]   success=True ber=0.0 sof=1
[run] reorder=0% jitter=1 rep=6
[run]   success=True ber=0.0 sof=1
[run] reorder=0% jitter=1 rep=7
[run]   success=True ber=0.0 sof=1
[run] reorder=0% jitter=1 rep=8
[run]   success=True ber=0.0 sof=1
[run] reorder=0% jitter=1 rep=9
[run]   success=True ber=0.0 sof=1
[run] reorder=0% jitter=1 rep=10
[run]   success=True ber=0.0 sof=1
[run] reorder=10% jitter=0 rep=1
[run]   success=True ber=0.0 sof=1
[run] reorder=10% jitter=0 rep=2
[run]   success=True ber=0.0 sof=1
[run] reorder=10% jitter=0 rep=3
[run]   success=False ber=0.03 sof=1
[run] reorder=10% jitter=0 rep=4
[run]   success=True ber=0.0 sof=1
[run] reorder=10% jitter=0 rep=5
[run]   success=True ber=0.0 sof=1
[run] reorder=10% jitter=0 rep=6
[run]   success=True ber=0.0 sof=1
[run] reorder=10% jitter=0 rep=7
[run]   success=True ber=0.0 sof=1
[run] reorder=10% jitter=0 rep=8
[run]   success=True ber=0.0 sof=1
[run] reorder=10% jitter=0 rep=9
[run]   success=True ber=0.0 sof=1
[run] reorder=10% jitter=0 rep=10
[run]   success=True ber=0.0 sof=1
[run] reorder=10% jitter=1 rep=1
[run]   success=True ber=0.0 sof=1
[run] reorder=10% jitter=1 rep=2
[run]   success=True ber=0.0 sof=1
[run] reorder=10% jitter=1 rep=3
[run]   success=True ber=0.0 sof=1
[run] reorder=10% jitter=1 rep=4
[run]   success=True ber=0.0 sof=1
[run] reorder=10% jitter=1 rep=5
[run]   success=True ber=0.0 sof=1
[run] reorder=10% jitter=1 rep=6
[run]   success=True ber=0.0 sof=1
[run] reorder=10% jitter=1 rep=7
[run]   success=True ber=0.0 sof=1
[run] reorder=10% jitter=1 rep=8
[run]   success=True ber=0.0 sof=1
[run] reorder=10% jitter=1 rep=9
[run]   success=True ber=0.0 sof=1
[run] reorder=10% jitter=1 rep=10
[run]   success=True ber=0.0 sof=1
[run] reorder=25% jitter=0 rep=1
[run]   success=False ber=0.335 sof=1
[run] reorder=25% jitter=0 rep=2
[run]   success=False ber=0.4025 sof=1
[run] reorder=25% jitter=0 rep=3
[run]   success=False ber=0.365 sof=1
[run] reorder=25% jitter=0 rep=4
[run]   success=False ber=0.415 sof=1
[run] reorder=25% jitter=0 rep=5
[run]   success=False ber=0.45125 sof=1
[run] reorder=25% jitter=0 rep=6
[run]   success=False ber=0.47125 sof=1
[run] reorder=25% jitter=0 rep=7
[run]   success=False ber=0.43125 sof=1
[run] reorder=25% jitter=0 rep=8
[run]   success=False ber=1.0 sof=1
[run] reorder=25% jitter=0 rep=9
[run]   success=False ber=0.3875 sof=1
[run] reorder=25% jitter=0 rep=10
[run]   success=False ber=0.315 sof=1
[run] reorder=25% jitter=1 rep=1
[run]   success=True ber=0.0 sof=1
[run] reorder=25% jitter=1 rep=2
[run]   success=True ber=0.0 sof=1
[run] reorder=25% jitter=1 rep=3
[run]   success=True ber=0.0 sof=1
[run] reorder=25% jitter=1 rep=4
[run]   success=True ber=0.0 sof=1
[run] reorder=25% jitter=1 rep=5
[run]   success=True ber=0.0 sof=1
[run] reorder=25% jitter=1 rep=6
[run]   success=True ber=0.0 sof=1
[run] reorder=25% jitter=1 rep=7
[run]   success=True ber=0.0 sof=1
[run] reorder=25% jitter=1 rep=8
[run]   success=True ber=0.0 sof=1
[run] reorder=25% jitter=1 rep=9
[run]   success=True ber=0.0 sof=1
[run] reorder=25% jitter=1 rep=10
[run]   success=True ber=0.0 sof=1
[run] reorder=50% jitter=0 rep=1
[run]   success=False ber=1.0 sof=0
[run] reorder=50% jitter=0 rep=2
[run]   success=False ber=1.0 sof=0
[run] reorder=50% jitter=0 rep=3
[run]   success=False ber=1.0 sof=0
[run] reorder=50% jitter=0 rep=4
[run]   success=False ber=1.0 sof=1
[run] reorder=50% jitter=0 rep=5
[run]   success=False ber=1.0 sof=1
[run] reorder=50% jitter=0 rep=6
[run]   success=False ber=1.0 sof=0
[run] reorder=50% jitter=0 rep=7
[run]   success=False ber=1.0 sof=1
[run] reorder=50% jitter=0 rep=8
[run]   success=False ber=1.0 sof=0
[run] reorder=50% jitter=0 rep=9
[run]   success=False ber=1.0 sof=0
[run] reorder=50% jitter=0 rep=10
[run]   success=False ber=1.0 sof=1
[run] reorder=50% jitter=1 rep=1
[run]   success=True ber=0.0 sof=1
[run] reorder=50% jitter=1 rep=2
[run]   success=True ber=0.0 sof=1
[run] reorder=50% jitter=1 rep=3
[run]   success=True ber=0.0 sof=1
[run] reorder=50% jitter=1 rep=4
[run]   success=True ber=0.0 sof=1
[run] reorder=50% jitter=1 rep=5
[run]   success=True ber=0.0 sof=1
[run] reorder=50% jitter=1 rep=6
[run]   success=True ber=0.0 sof=1
[run] reorder=50% jitter=1 rep=7
[run]   success=True ber=0.0 sof=1
[run] reorder=50% jitter=1 rep=8
[run]   success=True ber=0.0 sof=1
[run] reorder=50% jitter=1 rep=9
[run]   success=True ber=0.0 sof=1
[run] reorder=50% jitter=1 rep=10
[run]   success=True ber=0.0 sof=1
[done] results -> /home/stefan/Steganografie/jitter_results/results.csv
