bin_left,bin_right,bin_center,density_normal,density_v3
-6.293148,-5.476976,-5.885062,0.000000,0.000000
-5.476976,-4.660803,-5.068889,0.001357,0.000000
-4.660803,-3.844631,-4.252717,0.167398,0.000000
-3.844631,-3.028459,-3.436545,0.274293,0.004095
-3.028459,-2.212286,-2.620373,0.106082,0.061091
-2.212286,-1.396114,-1.804200,0.073525,0.095220
-1.396114,-0.579942,-0.988028,0.052363,0.093513
-0.579942,0.236230,-0.171856,0.057789,0.089418
0.236230,1.052403,0.644317,0.045309,0.141977
1.052403,1.868575,1.460489,0.035270,0.208528
1.868575,2.684747,2.276661,0.022519,0.203750
2.684747,3.500920,3.092833,0.021976,0.138564
3.500920,4.317092,3.909006,0.021162,0.076449
4.317092,5.133264,4.725178,0.016279,0.044709
5.133264,5.949436,5.541350,0.012209,0.021843
5.949436,6.765609,6.357523,0.010852,0.016041
6.765609,7.581781,7.173695,0.012480,0.011604
7.581781,8.397953,7.989867,0.014379,0.004095
8.397953,9.214126,8.806039,0.012752,0.003072
9.214126,10.030298,9.622212,0.013023,0.001365
10.030298,10.846470,10.438384,0.010852,0.000683
10.846470,11.662642,11.254556,0.019263,0.001365
11.662642,12.478815,12.070729,0.016550,0.001365
12.478815,13.294987,12.886901,0.027402,0.000341
13.294987,14.111159,13.703073,0.017906,0.000341
14.111159,14.927331,14.519245,0.011124,0.000341
14.927331,15.743504,15.335418,0.014108,0.000000
15.743504,16.559676,16.151590,0.013023,0.000683
16.559676,17.375848,16.967762,0.012480,0.000341
17.375848,18.192021,17.783934,0.010581,0.000341
18.192021,19.008193,18.600107,0.007325,0.000000
19.008193,19.824365,19.416279,0.009496,0.000341
19.824365,20.640537,20.232451,0.007868,0.000341
20.640537,21.456710,21.048624,0.005697,0.000000
21.456710,22.272882,21.864796,0.005155,0.000341
22.272882,23.089054,22.680968,0.003527,0.000000
23.089054,23.905227,23.497140,0.004341,0.000341
23.905227,24.721399,24.313313,0.003798,0.000000
24.721399,25.537571,25.129485,0.002984,0.000000
25.537571,26.353743,25.945657,0.003256,0.000000
26.353743,27.169916,26.761830,0.002442,0.000341
27.169916,27.986088,27.578002,0.001085,0.000000
27.986088,28.802260,28.394174,0.001899,0.000000
28.802260,29.618433,29.210346,0.002713,0.000341
29.618433,30.434605,30.026519,0.001085,0.000000
30.434605,31.250777,30.842691,0.002713,0.000000
31.250777,32.066949,31.658863,0.001899,0.000000
32.066949,32.883122,32.475036,0.001899,0.000000
32.883122,33.699294,33.291208,0.002442,0.000000
33.699294,34.515466,34.107380,0.002170,0.000000
34.515466,35.331639,34.923552,0.003256,0.000000
35.331639,36.147811,35.739725,0.002170,0.000341
36.147811,36.963983,36.555897,0.000814,0.000000
36.963983,37.780155,37.372069,0.001357,0.000000
37.780155,38.596328,38.188242,0.001357,0.000341
38.596328,39.412500,39.004414,0.001628,0.000000
39.412500,40.228672,39.820586,0.000271,0.000000
40.228672,41.044844,40.636758,0.000814,0.000000
41.044844,41.861017,41.452931,0.001357,0.000000
41.861017,42.677189,42.269103,0.001899,0.000000
42.677189,43.493361,43.085275,0.000814,0.000000
43.493361,44.309534,43.901447,0.000814,0.000000
44.309534,45.125706,44.717620,0.000814,0.000341
45.125706,45.941878,45.533792,0.001628,0.000000
45.941878,46.758050,46.349964,0.001085,0.000000
46.758050,47.574223,47.166137,0.000543,0.000000
47.574223,48.390395,47.982309,0.000814,0.000000
48.390395,49.206567,48.798481,0.001357,0.000341
49.206567,50.022740,49.614653,0.000271,0.000000
50.022740,50.838912,50.430826,0.000543,0.000000
50.838912,51.655084,51.246998,0.000814,0.000000
51.655084,52.471256,52.063170,0.000814,0.000341
52.471256,53.287429,52.879343,0.000271,0.000341
53.287429,54.103601,53.695515,0.000000,0.000000
54.103601,54.919773,54.511687,0.000000,0.000000
54.919773,55.735946,55.327859,0.000000,0.000000
55.735946,56.552118,56.144032,0.000271,0.000000
56.552118,57.368290,56.960204,0.000814,0.000000
57.368290,58.184462,57.776376,0.000543,0.000000
58.184462,59.000635,58.592549,0.000000,0.000000
