bin_left,bin_right,bin_center,density_normal,density_v3
0.337806,0.341056,0.339431,0.000000,0.000000
0.341056,0.344307,0.342682,1.363924,0.000000
0.344307,0.347558,0.345932,8.524525,0.085454
0.347558,0.350808,0.349183,14.866772,1.281804
0.350808,0.354059,0.352434,16.367089,2.990877
0.354059,0.357309,0.355684,15.480538,13.330767
0.357309,0.360560,0.358935,14.525791,32.386927
0.360560,0.363811,0.362185,13.639241,48.195848
0.363811,0.367061,0.365436,12.138924,51.186726
0.367061,0.370312,0.368687,10.706804,41.701372
0.370312,0.373563,0.371937,9.820253,31.788751
0.373563,0.376813,0.375188,8.660918,21.107047
0.376813,0.380064,0.378439,9.888450,13.843488
0.380064,0.383314,0.381689,8.388133,10.767158
0.383314,0.386565,0.384940,9.479272,5.981754
0.386565,0.389816,0.388190,6.137658,3.845413
0.389816,0.393066,0.391441,5.728481,3.503599
0.393066,0.396317,0.394692,5.455696,2.221794
0.396317,0.399568,0.397942,4.705538,1.196351
0.399568,0.402818,0.401193,3.614399,1.538165
0.402818,0.406069,0.404444,4.705538,0.683629
0.406069,0.409319,0.407694,3.887184,0.085454
0.409319,0.412570,0.410945,2.659652,0.085454
0.412570,0.415821,0.414195,3.000633,0.427268
0.415821,0.419071,0.417446,2.796044,0.085454
0.419071,0.422322,0.420697,2.250475,0.256361
0.422322,0.425573,0.423947,2.250475,0.854536
0.425573,0.428823,0.427198,3.000633,2.563609
0.428823,0.432074,0.430449,3.409810,1.538165
0.432074,0.435324,0.433699,2.727848,1.709073
0.435324,0.438575,0.436950,2.796044,1.538165
0.438575,0.441826,0.440200,2.796044,2.136341
0.441826,0.445076,0.443451,2.523260,0.939990
0.445076,0.448327,0.446702,1.773101,1.025444
0.448327,0.451578,0.449952,3.068829,1.025444
0.451578,0.454828,0.453203,2.659652,0.939990
0.454828,0.458079,0.456454,3.341614,0.512722
0.458079,0.461329,0.459704,2.796044,0.598175
0.461329,0.464580,0.462955,3.137025,0.683629
0.464580,0.467831,0.466205,2.932437,0.256361
0.467831,0.471081,0.469456,3.341614,0.170907
0.471081,0.474332,0.472707,3.546203,0.512722
0.474332,0.477583,0.475957,3.205222,0.170907
0.477583,0.480833,0.479208,3.955380,0.000000
0.480833,0.484084,0.482459,3.750791,0.341815
0.484084,0.487334,0.485709,3.614399,0.000000
0.487334,0.490585,0.488960,3.750791,0.170907
0.490585,0.493836,0.492210,2.591456,0.341815
0.493836,0.497086,0.495461,2.796044,0.085454
0.497086,0.500337,0.498712,3.205222,0.000000
0.500337,0.503588,0.501962,2.318671,0.170907
0.503588,0.506838,0.505213,1.841298,0.000000
0.506838,0.510089,0.508464,1.909494,0.085454
0.510089,0.513339,0.511714,1.500316,0.170907
0.513339,0.516590,0.514965,1.363924,0.000000
0.516590,0.519841,0.518215,1.159335,0.085454
0.519841,0.523091,0.521466,1.704905,0.170907
0.523091,0.526342,0.524717,1.500316,0.085454
0.526342,0.529593,0.527967,1.841298,0.000000
0.529593,0.532843,0.531218,2.114082,0.000000
0.532843,0.536094,0.534469,1.773101,0.000000
0.536094,0.539344,0.537719,1.636709,0.000000
0.539344,0.542595,0.540970,1.363924,0.000000
0.542595,0.545846,0.544220,1.432120,0.085454
0.545846,0.549096,0.547471,1.432120,0.000000
0.549096,0.552347,0.550722,1.363924,0.000000
0.552347,0.555598,0.553972,1.636709,0.000000
0.555598,0.558848,0.557223,0.818354,0.000000
0.558848,0.562099,0.560474,1.227532,0.000000
0.562099,0.565350,0.563724,0.750158,0.000000
0.565350,0.568600,0.566975,1.159335,0.000000
0.568600,0.571851,0.570225,0.886551,0.000000
0.571851,0.575101,0.573476,0.545570,0.085454
0.575101,0.578352,0.576727,0.477373,0.000000
0.578352,0.581603,0.579977,0.409177,0.000000
0.581603,0.584853,0.583228,0.545570,0.000000
0.584853,0.588104,0.586479,0.477373,0.000000
0.588104,0.591355,0.589729,0.272785,0.000000
0.591355,0.594605,0.592980,0.272785,0.000000
0.594605,0.597856,0.596230,0.136392,0.000000
