bin_left,bin_right,bin_center,density_normal,density_v3
-10.497973,-10.422450,-10.460212,0.008875,0.000000
-10.422450,-10.346927,-10.384689,0.005916,0.000000
-10.346927,-10.271404,-10.309166,0.011833,0.000000
-10.271404,-10.195881,-10.233643,0.023666,0.000000
-10.195881,-10.120358,-10.158120,0.032540,0.000000
-10.120358,-10.044835,-10.082597,0.056206,0.000000
-10.044835,-9.969312,-10.007074,0.115371,0.000000
-9.969312,-9.893789,-9.931551,0.147911,0.003683
-9.893789,-9.818266,-9.856028,0.127203,0.000000
-9.818266,-9.742743,-9.780505,0.100579,0.000000
-9.742743,-9.667220,-9.704982,0.159744,0.000000
-9.667220,-9.591697,-9.629459,0.130162,0.000000
-9.591697,-9.516174,-9.553936,0.165660,0.018416
-9.516174,-9.440651,-9.478413,0.147911,0.014733
-9.440651,-9.365128,-9.402889,0.121287,0.007366
-9.365128,-9.289605,-9.327366,0.147911,0.007366
-9.289605,-9.214082,-9.251843,0.150869,0.025782
-9.214082,-9.138559,-9.176320,0.121287,0.007366
-9.138559,-9.063036,-9.100797,0.162702,0.007366
-9.063036,-8.987513,-9.025274,0.139036,0.007366
-8.987513,-8.911990,-8.949751,0.130162,0.003683
-8.911990,-8.836467,-8.874228,0.221867,0.011050
-8.836467,-8.760944,-8.798705,0.316530,0.007366
-8.760944,-8.685421,-8.723182,0.538396,0.011050
-8.685421,-8.609898,-8.647659,0.644892,0.007366
-8.609898,-8.534375,-8.572136,0.727722,0.018416
-8.534375,-8.458852,-8.496613,0.544313,0.051564
-8.458852,-8.383329,-8.421090,0.686307,0.117861
-8.383329,-8.307806,-8.345567,0.650808,0.162059
-8.307806,-8.232282,-8.270044,0.600519,0.246772
-8.232282,-8.156759,-8.194521,0.529521,0.497228
-8.156759,-8.081236,-8.118998,0.331321,0.799248
-8.081236,-8.005713,-8.043475,0.304697,1.701624
-8.005713,-7.930190,-7.967952,0.266240,2.099407
-7.930190,-7.854667,-7.892429,0.215950,2.062575
-7.854667,-7.779144,-7.816906,0.159744,1.182297
-7.779144,-7.703621,-7.741383,0.174535,0.744000
-7.703621,-7.628098,-7.665860,0.177493,0.699802
-7.628098,-7.552575,-7.590337,0.165660,0.648238
-7.552575,-7.477052,-7.514814,0.133120,0.519327
-7.477052,-7.401529,-7.439291,0.106496,0.405149
-7.401529,-7.326006,-7.363768,0.133120,0.180475
-7.326006,-7.250483,-7.288245,0.124245,0.103129
-7.250483,-7.174960,-7.212722,0.121287,0.084713
-7.174960,-7.099437,-7.137199,0.147911,0.058931
-7.099437,-7.023914,-7.061676,0.124245,0.084713
-7.023914,-6.948391,-6.986152,0.139036,0.081030
-6.948391,-6.872868,-6.910629,0.088747,0.081030
-6.872868,-6.797345,-6.835106,0.141995,0.103129
-6.797345,-6.721822,-6.759583,0.106496,0.051564
-6.721822,-6.646299,-6.684060,0.115371,0.069980
-6.646299,-6.570776,-6.608537,0.147911,0.066297
-6.570776,-6.495253,-6.533014,0.124245,0.022099
-6.495253,-6.419730,-6.457491,0.168619,0.029465
-6.419730,-6.344207,-6.381968,0.121287,0.014733
-6.344207,-6.268684,-6.306445,0.139036,0.014733
-6.268684,-6.193161,-6.230922,0.139036,0.007366
-6.193161,-6.117638,-6.155399,0.097621,0.022099
-6.117638,-6.042115,-6.079876,0.097621,0.003683
-6.042115,-5.966592,-6.004353,0.097621,0.003683
-5.966592,-5.891069,-5.928830,0.059164,0.007366
-5.891069,-5.815546,-5.853307,0.068039,0.007366
-5.815546,-5.740022,-5.777784,0.062123,0.003683
-5.740022,-5.664499,-5.702261,0.082830,0.000000
-5.664499,-5.588976,-5.626738,0.047332,0.007366
-5.588976,-5.513453,-5.551215,0.070997,0.003683
-5.513453,-5.437930,-5.475692,0.479232,0.007366
-5.437930,-5.362407,-5.400169,0.041415,0.003683
-5.362407,-5.286884,-5.324646,0.035499,0.003683
-5.286884,-5.211361,-5.249123,0.038457,0.007366
-5.211361,-5.135838,-5.173600,0.026624,0.007366
-5.135838,-5.060315,-5.098077,0.029582,0.000000
-5.060315,-4.984792,-5.022554,0.014791,0.000000
-4.984792,-4.909269,-4.947031,0.020708,0.003683
-4.909269,-4.833746,-4.871508,0.026624,0.000000
-4.833746,-4.758223,-4.795985,0.011833,0.000000
-4.758223,-4.682700,-4.720462,0.014791,0.000000
-4.682700,-4.607177,-4.644939,0.020708,0.000000
-4.607177,-4.531654,-4.569416,0.005916,0.000000
-4.531654,-4.456131,-4.493892,0.005916,0.000000
