detector,variant,concentration_label,concentration_pct,k,pool_size,recall_mean,recall_std,random_baseline
IF,V1,10pct,10,1,10,0.002000,0.044677,0.100000
IF,V1,20pct,20,2,10,0.099000,0.211421,0.200000
IF,V1,33pct,30,3,10,0.299333,0.251130,0.300000
IF,V2,10pct,10,1,10,0.000000,0.000000,0.100000
IF,V2,20pct,20,2,10,0.005000,0.049749,0.200000
IF,V2,33pct,30,3,10,0.081333,0.153646,0.300000
IF,V3,10pct,10,1,10,0.000000,0.000000,0.100000
IF,V3,20pct,20,2,10,0.000000,0.000000,0.200000
IF,V3,33pct,30,3,10,0.000000,0.000000,0.300000
OCSVM,V1,10pct,10,1,10,1.000000,0.000000,0.100000
OCSVM,V1,20pct,20,2,10,1.000000,0.000000,0.200000
OCSVM,V1,33pct,30,3,10,1.000000,0.000000,0.300000
OCSVM,V2,10pct,10,1,10,0.002000,0.044677,0.100000
OCSVM,V2,20pct,20,2,10,0.064000,0.170012,0.200000
OCSVM,V2,33pct,30,3,10,0.227333,0.223327,0.300000
OCSVM,V3,10pct,10,1,10,0.002000,0.044677,0.100000
OCSVM,V3,20pct,20,2,10,0.087000,0.207198,0.200000
OCSVM,V3,33pct,30,3,10,0.286000,0.267049,0.300000
GMM,V1,10pct,10,1,10,0.586000,0.492548,0.100000
GMM,V1,20pct,20,2,10,0.758000,0.249872,0.200000
GMM,V1,33pct,30,3,10,0.859333,0.164626,0.300000
GMM,V2,10pct,10,1,10,0.162000,0.368451,0.100000
GMM,V2,20pct,20,2,10,0.470000,0.262869,0.200000
GMM,V2,33pct,30,3,10,0.574667,0.207585,0.300000
GMM,V3,10pct,10,1,10,0.000000,0.000000,0.100000
GMM,V3,20pct,20,2,10,0.016000,0.088000,0.200000
GMM,V3,33pct,30,3,10,0.089333,0.153542,0.300000
